"Year","Multi_short","ODA","Share","full name","country"
"2020","WHO - core voluntary contributions",2.764142,"0%","World Health Organisation - core voluntary contributions account","Switzerland"
"2020","CERF",5.528285,"1%","Central Emergency Response Fund","Switzerland"
"2020","UNEP",4.853944,"1%","United Nations Environment Programme","Switzerland"
"2020","IDA",238.330758,"26%","International Development Association","Switzerland"
"2020","WB",310.693673,"34%","World Bank Group (WB)","Switzerland"
"2020","AIIB",26.027805,"3%","Asian Infrastructure Investment Bank","Switzerland"
"2020","UNFPA",17.69051,"2%","United Nations Population Fund","Switzerland"
"2020","UNOCHA",2.211314,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Switzerland"
"2020","	
Regional Development Banks",115.108096,"13%","Regional Development Banks","Switzerland"
"2020","UN Women",17.69051,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Switzerland"
"2020","African Development Fund",78.784871,"9%","African Development Fund","Switzerland"
"2020","the Sahel Club",1.017204,"0%","Sahel and West Africa Club","Switzerland"
"2020","CGIAR Fund",17.745793,"2%","CGIAR Fund","Switzerland"
"2020","IDB, IIC and MIF",2.547844,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Switzerland"
"2020","Global Fund",20.454653,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Switzerland"
"2020","IFAD",14.649954,"2%","International Fund for Agricultural Development","Switzerland"
"2020","IPCC",0.110566,"0%","Intergovernmental Panel on Climate Change","Switzerland"
"2020","Gavi",11.056569,"1%","Global Alliance for Vaccines and Immunization","Switzerland"
"2020","UNFCCC",0.262073,"0%","United Nations Framework Convention on Climate Change","Switzerland"
"2020","ADF",7.747576,"1%","Asian Development Fund","Switzerland"
"2020","Other multilateral institutions",168.966556,"19%","Other multilateral institutions","Switzerland"
"2020","FAO",5.145529,"1%","Food and Agricultural Organisation","Switzerland"
"2020","WHO - assessed contributions",4.676235,"1%","World Health Organisation - assessed contributions","Switzerland"
"2020","GEF-Least Developed Countries Fund",3.538102,"0%","Global Environment Facility - Least Developed Countries Fund","Switzerland"
"2020","UNDP",54.951148,"6%","United Nations Development Programme","Switzerland"
"2021","WFP",15.317287,"2%","World Food Programme","Switzerland"
"2021","GEF Fund",31.45733,"3%","Global Environment Facility Trust Fund","Switzerland"
"2021","GCF",37.582057,"4%","Green Climate Fund","Switzerland"
"2021","IBRD",36.691602,"4%","International Bank for Reconstruction and Development","Switzerland"
"2021","GEF - Special Climate Change Fund",0.861597,"0%","Global Environment Facility - Special Climate Change Fund","Switzerland"
"2021","UN agency, fund or commission",292.671365,"31%","United Nations (UN) agency, fund or commission","Switzerland"
"2021","MDRI",65.636254,"7%","International Development Association - Multilateral Debt Relief Initiative","Switzerland"
"2021","WHO - core voluntary contributions",6.455142,"1%","World Health Organisation - core voluntary contributions account","Switzerland"
"2021","CERF",5.47046,"1%","Central Emergency Response Fund","Switzerland"
"2021","UNEP",4.803165,"1%","United Nations Environment Programme","Switzerland"
"2021","IDA",231.495026,"24%","International Development Association","Switzerland"
"2021","WB",350.296163,"37%","World Bank Group (WB)","Switzerland"
"2021","AfDB",40.353505,"4%","African Development Bank","Switzerland"
"2021","UNFPA",17.50547,"2%","United Nations Population Fund","Switzerland"
"2021","UNOCHA",2.188184,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Switzerland"
"2021","	
Regional Development Banks",156.173446,"16%","Regional Development Banks","Switzerland"
"2021","UN Women",17.50547,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Switzerland"
"2021","African Development Fund",87.880145,"9%","African Development Fund","Switzerland"
"2021","the Sahel Club",0.804158,"0%","Sahel and West Africa Club","Switzerland"
"2021","CGIAR Fund",18.654267,"2%","CGIAR Fund","Switzerland"
"2021","IDB, IIC and MIF",0.834352,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Switzerland"
"2021","Global Fund",24.890591,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Switzerland"
"2021","IFAD",15.043764,"2%","International Fund for Agricultural Development","Switzerland"
"2021","IPCC",0.109409,"0%","Intergovernmental Panel on Climate Change","Switzerland"
"2021","UNFCCC",0.236849,"0%","United Nations Framework Convention on Climate Change","Switzerland"
"2021","ADF",27.105444,"3%","Asian Development Fund","Switzerland"
"2021","Other multilateral institutions",159.889009,"17%","Other multilateral institutions","Switzerland"
"2021","FAO",4.753515,"0%","Food and Agricultural Organisation","Switzerland"
"2021","WHO - assessed contributions",4.512842,"0%","World Health Organisation - assessed contributions","Switzerland"
"2021","GEF-Least Developed Countries Fund",3.501094,"0%","Global Environment Facility - Least Developed Countries Fund","Switzerland"
"2021","UNDP",57.658643,"6%","United Nations Development Programme","Switzerland"
"2022","WFP",21.245368,"2%","World Food Programme","Switzerland"
"2022","GEF Fund",30.931132,"4%","Global Environment Facility Trust Fund","Switzerland"
"2022","GCF",36.48892,"4%","Green Climate Fund","Switzerland"
"2022","IBRD",35.624366,"4%","International Bank for Reconstruction and Development","Switzerland"
"2022","GEF - Special Climate Change Fund",1.920263,"0%","Global Environment Facility - Special Climate Change Fund","Switzerland"
"2022","UN agency, fund or commission",305.171179,"35%","United Nations (UN) agency, fund or commission","Switzerland"
"2022","MDRI",28.3658,"3%","International Development Association - Multilateral Debt Relief Initiative","Switzerland"
"2022","WHO - core voluntary contributions",2.655671,"0%","World Health Organisation - core voluntary contributions account","Switzerland"
"2022","CERF",6.224893,"1%","Central Emergency Response Fund","Switzerland"
"2022","UNEP",4.663456,"1%","United Nations Environment Programme","Switzerland"
"2022","IDA",224.761609,"26%","International Development Association","Switzerland"
"2022","WB",304.745903,"35%","World Bank Group (WB)","Switzerland"
"2022","AfDB",26.119838,"3%","African Development Bank","Switzerland"
"2022","UNFPA",16.996295,"2%","United Nations Population Fund","Switzerland"
"2022","UNOCHA",3.717939,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Switzerland"
"2022","	
Regional Development Banks",101.840706,"12%","Regional Development Banks","Switzerland"
"2022","UN Women",16.996295,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Switzerland"
"2022","African Development Fund",74.910785,"9%","African Development Fund","Switzerland"
"2022","the Sahel Club",0.759522,"0%","Sahel and West Africa Club","Switzerland"
"2022","CGIAR Fund",19.120832,"2%","CGIAR Fund","Switzerland"
"2022","IDB, IIC and MIF",0.810083,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Switzerland"
"2022","Global Fund",24.166607,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Switzerland"
"2022","IFAD",15.934026,"2%","International Fund for Agricultural Development","Switzerland"
"2022","IPCC",0.106227,"0%","Intergovernmental Panel on Climate Change","Switzerland"
"2022","UNFCCC",0.254461,"0%","United Nations Framework Convention on Climate Change","Switzerland"
"2022","Other multilateral institutions",160.403088,"18%","Other multilateral institutions","Switzerland"
"2022","FAO",4.573396,"1%","Food and Agricultural Organisation","Switzerland"
"2022","WHO - assessed contributions",4.026019,"0%","World Health Organisation - assessed contributions","Switzerland"
"2022","GEF-Least Developed Countries Fund",2.955549,"0%","Global Environment Facility - Least Developed Countries Fund","Switzerland"
"2022","UNDP",52.343277,"6%","United Nations Development Programme","Switzerland"
