"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2021","Togo",67.552432,0,"0%","Germany"
"2022","Togo",45.85086,0,"0%","Germany"
"2018","Libya",58.360491,0,"0%","Germany"
"2019","Libya",36.287261,0,"0%","Germany"
"2020","Libya",49.880487,0,"0%","Germany"
"2021","Libya",50.871031,0,"0%","Germany"
"2022","Libya",41.127514,0,"0%","Germany"
"2018","Myanmar",64.031552,0.108133,"0%","Germany"
"2019","Myanmar",82.066841,0.17647,"0%","Germany"
"2020","Myanmar",75.562524,4.568959,"0%","Germany"
"2021","Myanmar",57.223131,0,"0%","Germany"
"2022","Myanmar",39.633335,0,"0%","Germany"
"2018","Tanzania",42.923073,0,"0%","Germany"
"2019","Tanzania",39.681722,0,"0%","Germany"
"2020","Tanzania",55.114202,0,"0%","Germany"
"2021","Tanzania",62.390524,0,"0%","Germany"
"2022","Tanzania",37.49026,0,"0%","Germany"
"2018","Philippines",40.632947,2.510443,"0%","Germany"
"2019","Philippines",37.584878,5.593822,"0%","Germany"
"2020","Philippines",34.664819,5.395311,"0%","Germany"
"2021","Philippines",28.9119,5.003623,"0%","Germany"
"2022","Philippines",26.823359,9.657906,"0%","Germany"
"2018","Bolivia",43.714382,9.077434,"0%","Germany"
"2019","Bolivia",35.686706,6.766927,"0%","Germany"
"2020","Bolivia",33.305121,1.497146,"0%","Germany"
"2021","Bolivia",37.320496,2.468478,"0%","Germany"
"2022","Bolivia",29.595454,6.758612,"0%","Germany"
"2018","Uzbekistan",22.335295,0.726401,"0%","Germany"
"2019","Uzbekistan",20.657142,3.064531,"0%","Germany"
"2020","Uzbekistan",21.623848,15.612882,"0%","Germany"
"2021","Uzbekistan",25.669756,0.186034,"0%","Germany"
"2022","Uzbekistan",27.597642,6.846884,"0%","Germany"
"2018","Zimbabwe",48.641885,0,"0%","Germany"
"2019","Zimbabwe",29.823822,0.403294,"0%","Germany"
"2020","Zimbabwe",39.067549,0.203832,"0%","Germany"
"2021","Zimbabwe",43.842843,0.240323,"0%","Germany"
"2022","Zimbabwe",33.866544,0.481849,"0%","Germany"
"2018","Ecuador",54.117808,0,"0%","Germany"
"2019","Ecuador",49.698814,0,"0%","Germany"
"2020","Ecuador",36.796252,0,"0%","Germany"
"2021","Ecuador",43.367675,0.501245,"0%","Germany"
"2022","Ecuador",30.965001,2.210134,"0%","Germany"
"2018","Bosnia and Herzegovina",25.736759,15.351597,"0%","Germany"
"2019","Bosnia and Herzegovina",26.137808,22.698671,"0%","Germany"
"2020","Bosnia and Herzegovina",34.070746,51.534227,"0%","Germany"
"2021","Bosnia and Herzegovina",26.472339,47.573816,"0%","Germany"
"2022","Bosnia and Herzegovina",31.770181,0.392503,"0%","Germany"
"2018","Lao People's Democratic Republic",35.808731,0,"0%","Germany"
"2019","Lao People's Democratic Republic",37.938512,0,"0%","Germany"
"2020","Lao People's Democratic Republic",30.199076,0,"0%","Germany"
"2021","Lao People's Democratic Republic",33.595083,0,"0%","Germany"
"2022","Lao People's Democratic Republic",30.745685,0,"0%","Germany"
"2018","Kyrgyzstan",39.32812,0.052585,"0%","Germany"
"2019","Kyrgyzstan",36.062745,0.106083,"0%","Germany"
"2020","Kyrgyzstan",26.369399,0,"0%","Germany"
"2021","Kyrgyzstan",41.441703,0,"0%","Germany"
"2022","Kyrgyzstan",30.422229,0,"0%","Germany"
"2018","Kosovo",38.319734,0.568714,"0%","Germany"
"2019","Kosovo",37.178605,0.199565,"0%","Germany"
"2020","Kosovo",47.5407,0,"0%","Germany"
"2021","Kosovo",38.253594,0,"0%","Germany"
"2022","Kosovo",30.12717,0,"0%","Germany"
"2018","Guatemala",32.317299,2.933765,"0%","Germany"
"2019","Guatemala",28.030853,1.85108,"0%","Germany"
"2020","Guatemala",24.669729,0.794851,"0%","Germany"
"2021","Guatemala",26.592549,0.638734,"0%","Germany"
"2022","Guatemala",23.520722,6.20322,"0%","Germany"
"2018","Burundi",35.800093,0,"0%","Germany"
"2019","Burundi",41.441595,0,"0%","Germany"
"2020","Burundi",36.675988,0,"0%","Germany"
"2021","Burundi",30.846207,0,"0%","Germany"
"2022","Burundi",27.166143,0,"0%","Germany"
"2018","Liberia",35.730486,0,"0%","Germany"
"2019","Liberia",56.23068,0,"0%","Germany"
"2020","Liberia",33.945971,0,"0%","Germany"
"2021","Liberia",35.107881,0,"0%","Germany"
"2022","Liberia",27.080726,0,"0%","Germany"
"2018","North Macedonia",9.587078,0.262522,"0%","Germany"
"2019","North Macedonia",9.754718,3.236319,"0%","Germany"
"2020","North Macedonia",11.156012,5.314793,"0%","Germany"
"2021","North Macedonia",11.79876,7.793412,"0%","Germany"
"2022","North Macedonia",11.483593,15.154695,"0%","Germany"
"2018","Mauritania",28.51337,0,"0%","Germany"
"2019","Mauritania",24.293979,0,"0%","Germany"
"2020","Mauritania",26.829404,0,"0%","Germany"
"2021","Mauritania",22.034736,0,"0%","Germany"
"2022","Mauritania",24.709228,0,"0%","Germany"
"2018","Tajikistan",35.451248,0,"0%","Germany"
"2019","Tajikistan",30.141094,0,"0%","Germany"
"2020","Tajikistan",20.414564,0,"0%","Germany"
"2021","Tajikistan",17.517983,0,"0%","Germany"
"2022","Tajikistan",24.357759,0,"0%","Germany"
"2018","Thailand",19.96018,0,"0%","Germany"
"2019","Thailand",23.648542,16.214762,"0%","Germany"
"2020","Thailand",21.892433,15.940995,"0%","Germany"
"2021","Thailand",16.971668,4.13587,"0%","Germany"
"2022","Thailand",16.171694,8.130797,"0%","Germany"
"2018","Mongolia",28.175606,7.661885,"0%","Germany"
"2019","Mongolia",30.555887,2.841305,"0%","Germany"
"2020","Mongolia",25.782535,0.810917,"0%","Germany"
"2021","Mongolia",25.405386,1.330349,"0%","Germany"
"2022","Mongolia",23.860005,0.365251,"0%","Germany"
"2018","Algeria",12.707572,0,"0%","Germany"
"2019","Algeria",16.18633,0.271817,"0%","Germany"
"2020","Algeria",18.111438,0,"0%","Germany"
"2021","Algeria",31.828628,0,"0%","Germany"
"2022","Algeria",22.634255,0,"0%","Germany"
"2018","Montenegro",3.337277,17.968641,"0%","Germany"
"2019","Montenegro",3.22206,12.985584,"0%","Germany"
"2020","Montenegro",4.280865,21.985698,"0%","Germany"
"2021","Montenegro",2.944221,17.218536,"0%","Germany"
"2022","Montenegro",2.408303,19.863816,"0%","Germany"
"2018","Honduras",14.596257,4.490082,"0%","Germany"
