"Year","Multi_short","ODA","Share","full name","country"
"2018","EUI",692.488718,"34%","European Union Institutions","Netherlands"
"2019","GEF-Least Developed Countries Fund",8.400494,"0%","Global Environment Facility - Least Developed Countries Fund","Netherlands"
"2019","EC - Development Share of Budget",407.506729,"20%","European Commission - Development Share of Budget","Netherlands"
"2019","FAO",4.883405,"0%","Food and Agricultural Organisation","Netherlands"
"2019","IFAD",29.352271,"1%","International Fund for Agricultural Development","Netherlands"
"2019","Gavi",64.388509,"3%","Global Alliance for Vaccines and Immunization","Netherlands"
"2019","WHO - assessed contributions",13.710673,"1%","World Health Organisation - assessed contributions","Netherlands"
"2019","UN agency, fund or commission",570.773448,"28%","United Nations (UN) agency, fund or commission","Netherlands"
"2019","AfDB",83.369614,"4%","African Development Bank","Netherlands"
"2019","GEF Fund",25.819165,"1%","Global Environment Facility Trust Fund","Netherlands"
"2019","WFP",44.473204,"2%","World Food Programme","Netherlands"
"2019","GCF",39.4082,"2%","Green Climate Fund","Netherlands"
"2019","IMF",1.575093,"0%","International Monetary Fund (IMF)","Netherlands"
"2019","UNEP",19.522016,"1%","United Nations Environment Programme","Netherlands"
"2019","HIPC Debt Initiative Trust Fund",23.595505,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Netherlands"
"2019","MDRI",28.956997,"1%","International Development Association - Multilateral Debt Relief Initiative","Netherlands"
"2019","IDA",401.840102,"20%","International Development Association","Netherlands"
"2019","UNDP",96.95538,"5%","United Nations Development Programme","Netherlands"
"2019","ADB",2.909289,"0%","Asian Development Bank","Netherlands"
"2019","EC - EDF",277.621898,"13%","European Commission - European Development Fund","Netherlands"
"2019","UN Women",4.941467,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Netherlands"
"2019","WB",457.54279,"22%","World Bank Group (WB)","Netherlands"
"2019","UNFPA",40.767103,"2%","United Nations Population Fund","Netherlands"
"2019","AIIB",38.169127,"2%","Asian Infrastructure Investment Bank","Netherlands"
"2019","	
Regional Development Banks",124.44803,"6%","Regional Development Banks","Netherlands"
"2019","Other multilateral institutions",220.27814,"11%","Other multilateral institutions","Netherlands"
"2019","the Sahel Club",0.247073,"0%","Sahel and West Africa Club","Netherlands"
"2019","Global Fund",79.509852,"4%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Netherlands"
"2019","UNOCHA",118.810163,"6%","United Nations Office of Co-ordination of Humanitarian Affairs","Netherlands"
"2019","EUI",685.128627,"33%","European Union Institutions","Netherlands"
"2020","GEF-Least Developed Countries Fund",16.722066,"1%","Global Environment Facility - Least Developed Countries Fund","Netherlands"
"2020","EC - Development Share of Budget",399.859194,"23%","European Commission - Development Share of Budget","Netherlands"
"2020","FAO",4.692361,"0%","Food and Agricultural Organisation","Netherlands"
"2020","IFAD",26.971073,"2%","International Fund for Agricultural Development","Netherlands"
"2020","Gavi",47.841675,"3%","Global Alliance for Vaccines and Immunization","Netherlands"
"2020","WHO - assessed contributions",20.213993,"1%","World Health Organisation - assessed contributions","Netherlands"
"2020","UN agency, fund or commission",497.444128,"28%","United Nations (UN) agency, fund or commission","Netherlands"
"2020","AfDB",112.136414,"6%","African Development Bank","Netherlands"
"2020","GEF Fund",25.334626,"1%","Global Environment Facility Trust Fund","Netherlands"
"2020","WFP",52.123872,"3%","World Food Programme","Netherlands"
"2020","GCF",62.791083,"4%","Green Climate Fund","Netherlands"
"2020","UNEP",12.68671,"1%","United Nations Environment Programme","Netherlands"
"2020","HIPC Debt Initiative Trust Fund",23.164819,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Netherlands"
"2020","MDRI",35.395746,"2%","International Development Association - Multilateral Debt Relief Initiative","Netherlands"
"2020","IDA",220.193055,"12%","International Development Association","Netherlands"
"2020","UNDP",63.061068,"4%","United Nations Development Programme","Netherlands"
"2020","ADB",3.454722,"0%","Asian Development Bank","Netherlands"
"2020","EC - EDF",272.411866,"15%","European Commission - European Development Fund","Netherlands"
"2020","UN Women",4.848732,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Netherlands"
"2020","WB",278.75362,"16%","World Bank Group (WB)","Netherlands"
"2020","UNFPA",40.002041,"2%","United Nations Population Fund","Netherlands"
"2020","	
Regional Development Banks",115.591136,"7%","Regional Development Banks","Netherlands"
"2020","Other multilateral institutions",208.370985,"12%","Other multilateral institutions","Netherlands"
"2020","the Sahel Club",0.242437,"0%","Sahel and West Africa Club","Netherlands"
"2020","Global Fund",51.24965,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Netherlands"
"2020","UNOCHA",84.852816,"5%","United Nations Office of Co-ordination of Humanitarian Affairs","Netherlands"
"2020","EUI",672.27106,"38%","European Union Institutions","Netherlands"
"2021","GEF-Least Developed Countries Fund",22.484,"2%","Global Environment Facility - Least Developed Countries Fund","Netherlands"
"2021","EC - Development Share of Budget",422.436,"28%","European Commission - Development Share of Budget","Netherlands"
"2021","FAO",4.79659,"0%","Food and Agricultural Organisation","Netherlands"
"2021","IFAD",24.9823,"2%","International Fund for Agricultural Development","Netherlands"
"2021","Gavi",11.8259,"1%","Global Alliance for Vaccines and Immunization","Netherlands"
"2021","WHO - assessed contributions",27.97032,"2%","World Health Organisation - assessed contributions","Netherlands"
"2021","UN agency, fund or commission",471.661828,"31%","United Nations (UN) agency, fund or commission","Netherlands"
"2021","AfDB",85.75788,"6%","African Development Bank","Netherlands"
"2021","GEF Fund",20.1159,"1%","Global Environment Facility Trust Fund","Netherlands"
"2021","WFP",42.5733,"3%","World Food Programme","Netherlands"
"2021","GCF",35.4778,"2%","Green Climate Fund","Netherlands"
"2021","African Development Fund",7.26277,"0%","African Development Fund","Netherlands"
"2021","UNEP",8.773648,"1%","United Nations Environment Programme","Netherlands"
"2021","HIPC Debt Initiative Trust Fund",11.1637,"1%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Netherlands"
"2021","MDRI",40.2081,"3%","International Development Association - Multilateral Debt Relief Initiative","Netherlands"
"2021","IDA",52.2706,"3%","International Development Association","Netherlands"
"2021","UNDP",47.3037,"3%","United Nations Development Programme","Netherlands"
"2021","ADB",6.47469,"0%","Asian Development Bank","Netherlands"
"2021","EC - EDF",212.2539,"14%","European Commission - European Development Fund","Netherlands"
"2021","UN Women",4.73037,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Netherlands"
"2021","WB",103.6424,"7%","World Bank Group (WB)","Netherlands"
"2021","UNFPA",39.0255,"3%","United Nations Population Fund","Netherlands"
"2021","	
Regional Development Banks",99.49534,"7%","Regional Development Banks","Netherlands"
"2021","IFFIm",29.5648,"2%","International Finance Facility for Immunisation","Netherlands"
"2021","Other multilateral institutions",188.277588,"13%","Other multilateral institutions","Netherlands"
"2021","the Sahel Club",0.236518,"0%","Sahel and West Africa Club","Netherlands"
"2021","Global Fund",61.4948,"4%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Netherlands"
"2021","UNOCHA",104.65945,"7%","United Nations Office of Co-ordination of Humanitarian Affairs","Netherlands"
"2021","EUI",634.6899,"42%","European Union Institutions","Netherlands"
"2022","EC - Development Share of Budget",964.902017,"42%","European Commission - Development Share of Budget","Netherlands"
"2022","FAO",5.535608,"0%","Food and Agricultural Organisation","Netherlands"
"2022","IFAD",30.747167,"1%","International Fund for Agricultural Development","Netherlands"
"2022","Gavi",13.612833,"1%","Global Alliance for Vaccines and Immunization","Netherlands"
"2022","WHO - assessed contributions",16.085293,"1%","World Health Organisation - assessed contributions","Netherlands"
"2022","UN agency, fund or commission",554.346083,"24%","United Nations (UN) agency, fund or commission","Netherlands"
"2022","AfDB",47.967841,"2%","African Development Bank","Netherlands"
"2022","GEF Fund",34.660443,"2%","Global Environment Facility Trust Fund","Netherlands"
"2022","WFP",83.855911,"4%","World Food Programme","Netherlands"
"2022","GCF",33.542364,"1%","Green Climate Fund","Netherlands"
"2022","African Development Fund",28.761158,"1%","African Development Fund","Netherlands"
"2022","IMF",28.049653,"1%","International Monetary Fund (IMF)","Netherlands"
"2022","UNEP",8.295027,"0%","United Nations Environment Programme","Netherlands"
"2022","HIPC Debt Initiative Trust Fund",10.554664,"0%","International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund","Netherlands"
"2022","MDRI",42.241018,"2%","International Development Association - Multilateral Debt Relief Initiative","Netherlands"
"2022","IDA",292.303817,"13%","International Development Association","Netherlands"
"2022","UNDP",33.542364,"1%","United Nations Development Programme","Netherlands"
"2022","CERF",83.855911,"4%","Central Emergency Response Fund","Netherlands"
"2022","EC - EDF",147.033223,"6%","European Commission - European Development Fund","Netherlands"
"2022","UN Women",4.472315,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Netherlands"
"2022","WB",345.099499,"15%","World Bank Group (WB)","Netherlands"
"2022","UNFPA",39.132759,"2%","United Nations Population Fund","Netherlands"
"2022","	
Regional Development Banks",82.615684,"4%","Regional Development Banks","Netherlands"
"2022","IFFIm",27.95197,"1%","International Finance Facility for Immunisation","Netherlands"
"2022","Other multilateral institutions",181.405878,"8%","Other multilateral institutions","Netherlands"
"2022","the Sahel Club",0.223616,"0%","Sahel and West Africa Club","Netherlands"
"2022","Global Fund",58.140098,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Netherlands"
"2022","UNOCHA",10.062709,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Netherlands"
"2022","ADF",5.886685,"0%","Asian Development Fund","Netherlands"
"2022","EUI",1111.93524,"48%","European Union Institutions","Netherlands"
