"Year","Multi_short","ODA","Share","full name","country"
"2019","African Development Fund",71.674888,"8%","African Development Fund","Denmark"
"2019","ADB",0,"0%","Asian Development Bank","Denmark"
"2019","AIIB",14.234293,"2%","Asian Infrastructure Investment Bank","Denmark"
"2019","Gavi",4.191761,"0%","Global Alliance for Vaccines and Immunization","Denmark"
"2019","GEF-Least Developed Countries Fund",25.150565,"3%","Global Environment Facility - Least Developed Countries Fund","Denmark"
"2019","Global Fund",25.150565,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Denmark"
"2019","IPCC",0.670682,"0%","Intergovernmental Panel on Climate Change","Denmark"
"2020","CERF",33.504763,"3%","Central Emergency Response Fund","Denmark"
"2020","FAO",2.414631,"0%","Food and Agricultural Organisation","Denmark"
"2020","UNDP",26.476935,"3%","United Nations Development Programme","Denmark"
"2020","UN Women",12.25784,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Denmark"
"2020","UNEP",4.903136,"0%","United Nations Environment Programme","Denmark"
"2020","UNFCCC",0.100209,"0%","United Nations Framework Convention on Climate Change","Denmark"
"2020","UNOCHA",11.440651,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Denmark"
"2020","UNFPA",36.77352,"4%","United Nations Population Fund","Denmark"
"2020","WHO - assessed contributions",2.299397,"0%","World Health Organisation - assessed contributions","Denmark"
"2020","WHO - core voluntary contributions",4.085947,"0%","World Health Organisation - core voluntary contributions account","Denmark"
"2020","EC - Development Share of Budget",255.612385,"25%","European Commission - Development Share of Budget","Denmark"
"2020","EC - EDF",106.307667,"10%","European Commission - European Development Fund","Denmark"
"2020","EIB",7.31489,"1%","European Investment Bank","Denmark"
"2020","IBRD",31.838217,"3%","International Bank for Reconstruction and Development","Denmark"
"2020","IDA",169.225202,"17%","International Development Association","Denmark"
"2020","MDRI",20.598075,"2%","International Development Association - Multilateral Debt Relief Initiative","Denmark"
"2020","AfDB",11.0191,"1%","African Development Bank","Denmark"
"2020","African Development Fund",28.137238,"3%","African Development Fund","Denmark"
"2020","AIIB",0.004107,"0%","Asian Infrastructure Investment Bank","Denmark"
"2020","GEF-Least Developed Countries Fund",34.321952,"3%","Global Environment Facility - Least Developed Countries Fund","Denmark"
"2020","Global Fund",20.429734,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Denmark"
"2020","GCF",40.042278,"4%","Green Climate Fund","Denmark"
"2021","CERF",32.601262,"4%","Central Emergency Response Fund","Denmark"
"2021","FAO",2.22356,"0%","Food and Agricultural Organisation","Denmark"
"2021","UNDP",25.762949,"3%","United Nations Development Programme","Denmark"
"2021","UN Women",11.927291,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Denmark"
"2021","UNEP",4.770916,"1%","United Nations Environment Programme","Denmark"
"2021","UNFCCC",0.117354,"0%","United Nations Framework Convention on Climate Change","Denmark"
"2021","UNOCHA",11.132138,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Denmark"
"2021","UNFPA",35.781874,"4%","United Nations Population Fund","Denmark"
"2021","WHO - assessed contributions",2.132457,"0%","World Health Organisation - assessed contributions","Denmark"
"2021","WHO - core voluntary contributions",9.541833,"1%","World Health Organisation - core voluntary contributions account","Denmark"
"2021","EC - Development Share of Budget",277.756998,"31%","European Commission - Development Share of Budget","Denmark"
"2021","EC - EDF",81.131348,"9%","European Commission - European Development Fund","Denmark"
"2021","EIB",7.045033,"1%","European Investment Bank","Denmark"
"2021","IBRD",4.036925,"0%","International Bank for Reconstruction and Development","Denmark"
"2021","IDA",96.488605,"11%","International Development Association","Denmark"
"2021","AfDB",10.721799,"1%","African Development Bank","Denmark"
"2021","African Development Fund",27.365604,"3%","African Development Fund","Denmark"
"2021","ADB",0,"0%","Asian Development Bank","Denmark"
"2021","CGIAR Fund",3.037484,"0%","CGIAR Fund","Denmark"
"2021","GEF-Least Developed Countries Fund",15.903055,"2%","Global Environment Facility - Least Developed Countries Fund","Denmark"
"2021","Global Fund",19.878819,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Denmark"
"2021","GCF",88.261955,"10%","Green Climate Fund","Denmark"
"2021","IPCC",0.318061,"0%","Intergovernmental Panel on Climate Change","Denmark"
"2022","CERF",31.555453,"4%","Central Emergency Response Fund","Denmark"
"2022","FAO",2.266261,"0%","Food and Agricultural Organisation","Denmark"
"2022","UNDP",22.015432,"3%","United Nations Development Programme","Denmark"
"2022","UN Women",11.007716,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Denmark"
"2022","UNEP",7.338477,"1%","United Nations Environment Programme","Denmark"
