Year,Multi_short,ODA,Share,full name,Donor
2020,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,7.14,0.01%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Austria
2020,IFAD,6.65,0.01%,International Fund for Agricultural Development ,Austria
2020,Asian Development Fund ,6.56,0.01%,Asian Development Fund ,Austria
2020,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",6.41,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Austria
2020,AfDB,4.17,0.01%,African Development Bank,Austria
2020,FAO,3.02,0.01%,Food and Agricultural Organisation,Austria
2020,Organization for Security and Co-operation in Europe,2.94,0.01%,Organization for Security and Co-operation in Europe,Austria
2020,World Health Organisation - assessed contributions,2.83,0.01%,World Health Organisation - assessed contributions,Austria
2020,United Nations Office of the High Commissioner for Refugees,2.74,0.01%,United Nations Office of the High Commissioner for Refugees,Austria
2020,Council of Europe,2.57,0.0%,Council of Europe,Austria
2020,MLF-MP,2.06,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Austria
2020,International Labour Organisation - Assessed Contributions,1.88,0.0%,International Labour Organisation - Assessed Contributions,Austria
2020,International Organisation for Migration ,1.82,0.0%,International Organisation for Migration ,Austria
2020,UNDP,1.62,0.0%,United Nations Development Programme ,Austria
2020,"United Nations Educational, Scientific and Cultural Organisation",1.49,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Austria
2020,UNIDO,1.44,0.0%,United Nations Industrial Development Organisation ,Austria
2020,UNICEF,1.25,0.0%,United Nations Children's Fund ,Austria
2020,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",1.07,0.0%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Austria
2020,International Atomic Energy Agency - assessed contributions,1.02,0.0%,International Atomic Energy Agency - assessed contributions,Austria
2020,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.71,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Austria
2020,UNRWA,0.5,0.0%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Austria
2020,UNEP,0.5,0.0%,United Nations Environment Programme ,Austria
2020,International Agency for Research on Cancer,0.47,0.0%,International Agency for Research on Cancer,Austria
2020,International Anti-Corruption Academy,0.39,0.0%,International Anti-Corruption Academy,Austria
2020,United Nations Entity for Gender Equality and the Empowerment of Women,0.31,0.0%,United Nations Entity for Gender Equality and the Empowerment of Women,Austria
2020,UNFPA,0.25,0.0%,United Nations Population Fund ,Austria
2020,World Trade Organisation - Doha Development Agenda Global Trust Fund ,0.25,0.0%,World Trade Organisation - Doha Development Agenda Global Trust Fund ,Austria
2020,UNWTO,0.25,0.0%,World Tourism Organization,Austria
2020,United Nations Framework Convention on Climate Change ,0.14,0.0%,United Nations Framework Convention on Climate Change ,Austria
2020,UNCDF,0.12,0.0%,United Nations Capital Development Fund ,Austria
2020,United Nations Office of Co-ordination of Humanitarian Affairs ,0.11,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Austria
2020,United Nations Office on Drugs and Crime ,0.1,0.0%,United Nations Office on Drugs and Crime ,Austria
2020,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,0.09,0.0%,United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights,Austria
2020,Convention to Combat Desertification ,0.06,0.0%,Convention to Combat Desertification ,Austria
2020,CITES,0.05,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Austria
2020,United Nations Voluntary Fund for Victims of Torture ,0.04,0.0%,United Nations Voluntary Fund for Victims of Torture ,Austria
2020,World Meteorological Organisation ,0.02,0.0%,World Meteorological Organisation ,Austria
2020,International Organisation of the Francophonie,0.01,0.0%,International Organisation of the Francophonie,Austria
2021,European Commission - Development Share of Budget,319.42,0.57%,European Commission - Development Share of Budget,Austria
2021,IDA,197.41,0.35%,International Development Association ,Austria
2021,European Commission - European Development Fund,109.96,0.2%,European Commission - European Development Fund,Austria
2021,ADF,47.12,0.08%,African Development Fund ,Austria
2021,GCF,30.54,0.05%,Green Climate Fund,Austria
2021,GEF-TF,15.42,0.03%,Global Environment Facility Trust Fund,Austria
2021,International Development Association - Multilateral Debt Relief Initiative,10.86,0.02%,International Development Association - Multilateral Debt Relief Initiative,Austria
2021,IFC,10.76,0.02%,International Finance Corporation ,Austria
2021,UN,10.46,0.02%,United Nations,Austria
2021,IFAD,6.52,0.01%,International Fund for Agricultural Development ,Austria
2021,Asian Development Fund ,5.78,0.01%,Asian Development Fund ,Austria
2021,AfDB,4.08,0.01%,African Development Bank,Austria
2021,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",4.02,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Austria
2021,Organization for Security and Co-operation in Europe,3.32,0.01%,Organization for Security and Co-operation in Europe,Austria
2021,CERF,2.93,0.01%,Central Emergency Response Fund,Austria
2021,FAO,2.85,0.01%,Food and Agricultural Organisation,Austria
