Year,Multi_short,ODA,Share,Full Name,Donor
2020,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.85,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Belgium
2020,CERF,0.74,0.0%,Central Emergency Response Fund,Belgium
2020,Sahel and West Africa Club ,0.25,0.0%,Sahel and West Africa Club ,Belgium
2020,United Nations Framework Convention on Climate Change ,0.1,0.0%,United Nations Framework Convention on Climate Change ,Belgium
2020,Convention to Combat Desertification ,0.07,0.0%,Convention to Combat Desertification ,Belgium
2020,UNWTO,0.06,0.0%,World Tourism Organization,Belgium
2020,United Nations Economic Commission for Europe (extrabudgetary contributions only),0.01,0.0%,United Nations Economic Commission for Europe (extrabudgetary contributions only),Belgium
2021,European Commission - Development Share of Budget,568.36,1.01%,European Commission - Development Share of Budget,Belgium
2021,IDA,193.01,0.34%,International Development Association ,Belgium
2021,European Commission - European Development Fund,132.72,0.24%,European Commission - European Development Fund,Belgium
2021,AfDB,45.78,0.08%,African Development Bank,Belgium
2021,ADF,44.5,0.08%,African Development Fund ,Belgium
2021,GCF,23.81,0.04%,Green Climate Fund,Belgium
2021,IFC,22.07,0.04%,International Finance Corporation ,Belgium
2021,CERF,21.13,0.04%,Central Emergency Response Fund,Belgium
2021,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",17.86,0.03%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Belgium
2021,UNICEF,17.86,0.03%,United Nations Children's Fund ,Belgium
2021,Global Environment Facility - Least Developed Countries Fund,17.86,0.03%,Global Environment Facility - Least Developed Countries Fund,Belgium
2021,GEF-TF,17.86,0.03%,Global Environment Facility Trust Fund,Belgium
2021,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,16.85,0.03%,International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund ,Belgium
2021,United Nations Office of the High Commissioner for Refugees,11.91,0.02%,United Nations Office of the High Commissioner for Refugees,Belgium
2021,EIB,11.84,0.02%,European Investment Bank ,Belgium
2021,AIIB,11.34,0.02%,Asian Infrastructure Investment Bank,Belgium
2021,UNDP,11.31,0.02%,United Nations Development Programme ,Belgium
2021,UN,10.83,0.02%,United Nations,Belgium
2021,UNFPA,10.71,0.02%,United Nations Population Fund ,Belgium
2021,UNRWA,8.7,0.02%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Belgium
2021,World Health Organisation - assessed contributions,7.93,0.01%,World Health Organisation - assessed contributions,Belgium
2021,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",7.81,0.01%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Belgium
2021,United Nations Office of Co-ordination of Humanitarian Affairs ,6.91,0.01%,United Nations Office of Co-ordination of Humanitarian Affairs ,Belgium
2021,UNEP,6.31,0.01%,United Nations Environment Programme ,Belgium
2021,WFP,5.95,0.01%,World Food Programme ,Belgium
2021,FAO,5.73,0.01%,Food and Agricultural Organisation,Belgium
2021,International Labour Organisation - Assessed Contributions,5.71,0.01%,International Labour Organisation - Assessed Contributions,Belgium
2021,International Organisation of the Francophonie,4.85,0.01%,International Organisation of the Francophonie,Belgium
2021,CGIAR ,4.76,0.01%,CGIAR Fund,Belgium
2021,United Nations Entity for Gender Equality and the Empowerment of Women,4.76,0.01%,United Nations Entity for Gender Equality and the Empowerment of Women,Belgium
2021,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),4.05,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Belgium
2021,Joint United Nations Programme on HIV/AIDS ,3.87,0.01%,Joint United Nations Programme on HIV/AIDS ,Belgium
2021,AF,3.57,0.01%,Adaptation Fund,Belgium
2021,Council of Europe,3.15,0.01%,Council of Europe,Belgium
2021,International Organisation for Migration ,2.89,0.01%,International Organisation for Migration ,Belgium
2021,MLF-MP,2.47,0.0%,Multilateral Fund for the Implementation of the Montreal Protocol ,Belgium
2021,United Nations Peacebuilding Fund,2.38,0.0%,United Nations Peacebuilding Fund,Belgium
2021,Organization for Security and Co-operation in Europe,2.02,0.0%,Organization for Security and Co-operation in Europe,Belgium
2021,"United Nations Educational, Scientific and Cultural Organisation",1.71,0.0%,"United Nations Educational, Scientific and Cultural Organisation",Belgium
2021,International Renewable Energy Agency,0.88,0.0%,International Renewable Energy Agency,Belgium
2021,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),0.84,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Belgium
2021,IBRD,0.51,0.0%,International Bank for Reconstruction and Development ,Belgium
2021,Sahel and West Africa Club ,0.24,0.0%,Sahel and West Africa Club ,Belgium
2021,United Nations Framework Convention on Climate Change ,0.16,0.0%,United Nations Framework Convention on Climate Change ,Belgium
2021,Convention to Combat Desertification ,0.07,0.0%,Convention to Combat Desertification ,Belgium
2021,UNWTO,0.06,0.0%,World Tourism Organization,Belgium
2021,Geneva International Centre for Humanitarian Demining ,0.01,0.0%,Geneva International Centre for Humanitarian Demining ,Belgium
2022,European Commission - Development Share of Budget,741.95,1.39%,European Commission - Development Share of Budget,Belgium
2022,IDA,231.81,0.43%,International Development Association ,Belgium
2022,European Commission - European Development Fund,89.43,0.17%,European Commission - European Development Fund,Belgium
2022,ADF,37.02,0.07%,African Development Fund ,Belgium
2022,GEF-TF,36.54,0.07%,Global Environment Facility Trust Fund,Belgium
2022,IFC,24.47,0.05%,International Finance Corporation ,Belgium
2022,IBRD,23.36,0.04%,International Bank for Reconstruction and Development ,Belgium
2022,International Development Association - Multilateral Debt Relief Initiative,22.95,0.04%,International Development Association - Multilateral Debt Relief Initiative,Belgium
2022,GCF,22.49,0.04%,Green Climate Fund,Belgium
2022,CERF,19.79,0.04%,Central Emergency Response Fund,Belgium
2022,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",16.86,0.03%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Belgium
2022,Global Environment Facility - Least Developed Countries Fund,16.86,0.03%,Global Environment Facility - Least Developed Countries Fund,Belgium
2022,UNICEF,16.86,0.03%,United Nations Children's Fund ,Belgium
